guid,text,back extra,tags
"O.B({R*,VK","<div>Seat belts must be fastened during {{c1::movement on the surface (taxi)}}, {{c2::takeoff}}, and {{c3::landing}}.</div><br>","<a href=""https://uspa.org/skydiveschool/A"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT A (uspa.org)</a>",SIM::Category_A_Quiz
E%>`PgrQ@W,<div>The wind comes from {{c1::ahead}} initially upon exit from the aircraft.</div>,"<a href=""https://uspa.org/skydiveschool/A"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT A (uspa.org)</a>",SIM::Category_A_Quiz
mW#dX@n@yL,"<div>Landing priorities are:</div><div>A: {{c1::Land with the wing level and flying in a straight line}}<br>B: {{c2::Land in a clear and open area, avoiding obstacles}}<br>C: {{c3::Flare to at least the half-brake position}}</div><br>","<a href=""https://uspa.org/skydiveschool/A"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT A (uspa.org)</a>",SIM::Category_A_Quiz
GEjOY:q$zJ,Procedure for a hard landing (parachute landing fall or PLF):<br><ul><li>{{c1::feet and knees together}}</li><li>{{c2::hands and elbows in}}</li><li>{{c3::roll on landing}}</li></ul>,"<a href=""https://uspa.org/skydiveschool/A"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT A (uspa.org)</a>",SIM::Category_A_Quiz
"fp;a925b,}","<div>In the event of a canopy problem, students should decide and act about executing emergency procedures by {{c1::2,500}} feet.</div>","<a href=""https://uspa.org/skydiveschool/B"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT B (uspa.org)</a>",SIM::Category_B_Quiz
RjV>ZISU#A,"How would you address closed end cells during opening?<br><br>{{c1::Pull toggles to flare position and hold (or pull down rear risers and hold)}} and watch altitude. If stubborn, determine controllability with turn and flare by 2,500 feet.","<a href=""https://uspa.org/skydiveschool/B"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT B (uspa.org)</a>",SIM::Category_B_Quiz
d-Y)acbQ&*,"How would you address broken lines or other damage?<br><br>Determine {{c1::controllability and ability to flare}} by 2,500 feet.","<a href=""https://uspa.org/skydiveschool/B"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT B (uspa.org)</a>",SIM::Category_B_Quiz
"FA]AsJR,y{",How would you address a good canopy that isn't turning?<br><br>{{c1::Be sure both brakes are released.}},"<a href=""https://uspa.org/skydiveschool/B"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT B (uspa.org)</a>",SIM::Category_B_Quiz
uSIevp1u+l,"What is the appropriate action if below {{c2::1,000}} feet without a landable parachute?<br><br>{{c1::Immediately deploy the reserve parachute}}, but not below 1,000 feet with an SOS system.","<a href=""https://uspa.org/skydiveschool/B"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT B (uspa.org)</a>",SIM::Category_B_Quiz
KsP4hgK>#!,"If the pilot chute goes over the front of the canopy after it has opened, how can you tell if it’s a malfunction?<br><br>It is probably safe to land if the canopy {{c1::flares and turns correctly.}}","<a href=""https://uspa.org/skydiveschool/B"">United States Parachute Association &gt; Safety and Training &gt; Skydive School &gt; CAT B (uspa.org)</a>",SIM::Category_B_Quiz
